poi_id,poi_name,neighbourhood,popularity,capacity,baseline_pressure,sustainable_value,visits,max_slot_crowd_ratio,strategy
0,Barcelona Cathedral,Gotic,0.95,1000,0.8174999999999999,0.6014999999999999,824,0.423,popularity
17,Palau Macaya,Dreta Eixample,0.9,700,0.7850000000000001,0.488,647,0.25857142857142856,popularity
14,Sant Antoni Market,Dreta Eixample,0.9,700,0.7850000000000001,0.293,591,0.21142857142857144,popularity
7,Barceloneta Beach,La Barceloneta,0.9,1000,0.7850000000000001,0.5505,589,0.158,popularity
12,Mercat dels Encants,Dreta Eixample,0.9,700,0.7850000000000001,0.293,588,0.22,popularity
19,Mercat de Gràcia,Dreta Eixample,0.9,700,0.7850000000000001,0.293,537,0.2342857142857143,popularity
11,La Pedrera,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,328,0.5133333333333333,popularity
30,Park Güell,Vila de Gracia,0.85,700,0.5525,0.6845,244,0.19857142857142857,popularity
38,Glories Tower,Glories,0.85,700,0.5525,0.4595000000000001,199,0.18714285714285714,popularity
10,Casa Batllo,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,199,0.36666666666666664,popularity
18,Egyptian Museum,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,74,0.18666666666666668,popularity
13,Casa Amatller,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,69,0.11333333333333333,popularity
16,Casa Vicens,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,47,0.09,popularity
15,Joan Miró Park,Dreta Eixample,0.85,700,0.7525,0.5495,41,0.024285714285714285,popularity
20,MNAC,Montjuic,0.85,1000,0.5525,0.5745,21,0.013,popularity
2,Ciutadella Park,El Born,0.8,1000,0.72,0.5485,2,0.001,popularity
50,Sarria old town,Sarria,0.7,700,0.45499999999999996,0.574,0,0.0,popularity
44,Fabra i Coats,Sant Andreu,0.7,450,0.45499999999999996,0.754,0,0.0,popularity
54,Monastery gardens,Sant Gervasi,0.75,700,0.48750000000000004,0.6425000000000001,0,0.0,popularity
39,Design Museum,Diagonal Mar,0.75,450,0.48750000000000004,0.5425,0,0.0,popularity
40,Rambla del Poblenou,Poblenou,0.8,1500,0.52,0.41100000000000003,0,0.0,popularity
53,Carretera de les Aigues,Collserola,0.6,900,0.39,0.6795,0,0.0,popularity
41,Bogatell Beach,Diagonal Mar,0.7,700,0.45499999999999996,0.649,0,0.0,popularity
42,Forum Park,Sant Marti,0.8,700,0.52,0.6535,0,0.0,popularity
43,Natural Science Museum,Sant Marti,0.6,450,0.39,0.587,0,0.0,popularity
45,Sant Andreu old town,Sant Andreu,0.8,700,0.52,0.5609999999999999,0,0.0,popularity
36,Guinardo Park,Guinardo,0.5,300,0.325,0.7050000000000001,0,0.0,popularity
46,Clot Park,El Clot,0.7,700,0.45499999999999996,0.679,0,0.0,popularity
47,Camp Nou Museum,Sarria,0.8,300,0.52,0.5785,0,0.0,popularity
48,Torre Bellesguard,Pedralbes,0.75,450,0.48750000000000004,0.7175,0,0.0,popularity
49,Collserola viewpoints,Collserola,0.6,900,0.39,0.6669999999999999,0,0.0,popularity
52,CosmoCaixa,Collserola,0.6,900,0.39,0.742,0,0.0,popularity
51,Pedralbes Monastery,Pedralbes,0.75,300,0.48750000000000004,0.6725000000000001,0,0.0,popularity
55,Pedralbes Gardens,Pedralbes,0.75,700,0.48750000000000004,0.6425000000000001,0,0.0,popularity
37,Fabra Observatory,El Carmel,0.4,200,0.26,0.768,0,0.0,popularity
28,Port Vell promenade,Port Vell,0.8,500,0.52,0.6435,0,0.0,popularity
35,Gracia squares,Vila de Gracia,0.7,300,0.45499999999999996,0.604,0,0.0,popularity
23,Magic Fountain,Montjuic,0.8,200,0.52,0.506,0,0.0,popularity
3,Picasso Museum,El Raval,0.7,500,0.655,0.409,0,0.0,popularity
4,History Museum of Catalonia,La Rambla,0.6,300,0.5900000000000001,0.34199999999999997,0,0.0,popularity
5,Palau Guell,El Raval,0.8,300,0.72,0.35100000000000003,0,0.0,popularity
6,Maritime Museum,La Barceloneta,0.7,400,0.655,0.314,0,0.0,popularity
8,Born Cultural Centre,El Born,0.75,500,0.6875,0.7025,0,0.0,popularity
9,Sant Pere Church,Gotic,0.6,200,0.5900000000000001,0.392,0,0.0,popularity
21,Fundacio Joan Miro,Montjuic,0.8,200,0.52,0.586,0,0.0,popularity
22,Poble Espanyol,Montjuic,0.75,500,0.48750000000000004,0.6175,0,0.0,popularity
24,CaixaForum,Montjuic,0.7,300,0.45499999999999996,0.624,0,0.0,popularity
34,Labyrinth Park of Horta,Horta,0.65,400,0.42250000000000004,0.6555,0,0.0,popularity
25,Olympic Stadium,Montjuic,0.7,500,0.45499999999999996,0.624,0,0.0,popularity
26,Joan Miro Foundation gardens,Montjuic,0.8,300,0.52,0.6985,0,0.0,popularity
27,Hostafrancs Market,Montjuic,0.7,200,0.45499999999999996,0.504,0,0.0,popularity
1,Mercat de la Boqueria,La Barceloneta,0.75,600,0.6875,0.5075000000000001,0,0.0,popularity
29,Poble Sec,Poble Sec,0.6,300,0.39,0.592,0,0.0,popularity
31,Temple del Tibidabo,Horta,0.75,600,0.48750000000000004,0.4225,0,0.0,popularity
32,Bunkers del Carmel,El Carmel,0.7,400,0.45499999999999996,0.379,0,0.0,popularity
33,Mercat de la Llibertat,Vila de Gracia,0.7,500,0.45499999999999996,0.499,0,0.0,popularity
56,Sant Gervasi market area,Sant Gervasi,0.75,700,0.48750000000000004,0.5925,0,0.0,popularity
0,Barcelona Cathedral,Gotic,0.95,1000,0.8174999999999999,0.6014999999999999,503,0.157,personalized
30,Park Güell,Vila de Gracia,0.85,700,0.5525,0.6845,440,0.14285714285714285,personalized
20,MNAC,Montjuic,0.85,1000,0.5525,0.5745,298,0.071,personalized
38,Glories Tower,Glories,0.85,700,0.5525,0.4595000000000001,287,0.10857142857142857,personalized
51,Pedralbes Monastery,Pedralbes,0.75,300,0.48750000000000004,0.6725000000000001,238,0.23,personalized
9,Sant Pere Church,Gotic,0.6,200,0.5900000000000001,0.392,229,0.32,personalized
1,Mercat de la Boqueria,La Barceloneta,0.75,600,0.6875,0.5075000000000001,216,0.14,personalized
22,Poble Espanyol,Montjuic,0.75,500,0.48750000000000004,0.6175,186,0.104,personalized
28,Port Vell promenade,Port Vell,0.8,500,0.52,0.6435,164,0.082,personalized
12,Mercat dels Encants,Dreta Eixample,0.9,700,0.7850000000000001,0.293,127,0.04285714285714286,personalized
14,Sant Antoni Market,Dreta Eixample,0.9,700,0.7850000000000001,0.293,121,0.04285714285714286,personalized
7,Barceloneta Beach,La Barceloneta,0.9,1000,0.7850000000000001,0.5505,115,0.03,personalized
2,Ciutadella Park,El Born,0.8,1000,0.72,0.5485,115,0.026,personalized
26,Joan Miro Foundation gardens,Montjuic,0.8,300,0.52,0.6985,113,0.1,personalized
19,Mercat de Gràcia,Dreta Eixample,0.9,700,0.7850000000000001,0.293,112,0.04,personalized
54,Monastery gardens,Sant Gervasi,0.75,700,0.48750000000000004,0.6425000000000001,101,0.041428571428571426,personalized
15,Joan Miró Park,Dreta Eixample,0.85,700,0.7525,0.5495,101,0.03857142857142857,personalized
25,Olympic Stadium,Montjuic,0.7,500,0.45499999999999996,0.624,101,0.064,personalized
6,Maritime Museum,La Barceloneta,0.7,400,0.655,0.314,97,0.0825,personalized
56,Sant Gervasi market area,Sant Gervasi,0.75,700,0.48750000000000004,0.5925,97,0.04,personalized
50,Sarria old town,Sarria,0.7,700,0.45499999999999996,0.574,94,0.04428571428571428,personalized
43,Natural Science Museum,Sant Marti,0.6,450,0.39,0.587,94,0.06888888888888889,personalized
53,Carretera de les Aigues,Collserola,0.6,900,0.39,0.6795,93,0.024444444444444446,personalized
17,Palau Macaya,Dreta Eixample,0.9,700,0.7850000000000001,0.488,91,0.04857142857142857,personalized
41,Bogatell Beach,Diagonal Mar,0.7,700,0.45499999999999996,0.649,88,0.037142857142857144,personalized
24,CaixaForum,Montjuic,0.7,300,0.45499999999999996,0.624,86,0.10666666666666667,personalized
18,Egyptian Museum,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,84,0.09,personalized
55,Pedralbes Gardens,Pedralbes,0.75,700,0.48750000000000004,0.6425000000000001,78,0.032857142857142856,personalized
46,Clot Park,El Clot,0.7,700,0.45499999999999996,0.679,78,0.041428571428571426,personalized
39,Design Museum,Diagonal Mar,0.75,450,0.48750000000000004,0.5425,76,0.05333333333333334,personalized
42,Forum Park,Sant Marti,0.8,700,0.52,0.6535,76,0.032857142857142856,personalized
33,Mercat de la Llibertat,Vila de Gracia,0.7,500,0.45499999999999996,0.499,71,0.054,personalized
5,Palau Guell,El Raval,0.8,300,0.72,0.35100000000000003,68,0.1,personalized
27,Hostafrancs Market,Montjuic,0.7,200,0.45499999999999996,0.504,45,0.105,personalized
47,Camp Nou Museum,Sarria,0.8,300,0.52,0.5785,35,0.05333333333333334,personalized
34,Labyrinth Park of Horta,Horta,0.65,400,0.42250000000000004,0.6555,21,0.0325,personalized
21,Fundacio Joan Miro,Montjuic,0.8,200,0.52,0.586,12,0.03,personalized
11,La Pedrera,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,9,0.02,personalized
16,Casa Vicens,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,8,0.023333333333333334,personalized
52,CosmoCaixa,Collserola,0.6,900,0.39,0.742,8,0.0022222222222222222,personalized
10,Casa Batllo,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,7,0.02,personalized
13,Casa Amatller,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,5,0.016666666666666666,personalized
23,Magic Fountain,Montjuic,0.8,200,0.52,0.506,4,0.015,personalized
8,Born Cultural Centre,El Born,0.75,500,0.6875,0.7025,3,0.004,personalized
37,Fabra Observatory,El Carmel,0.4,200,0.26,0.768,3,0.005,personalized
36,Guinardo Park,Guinardo,0.5,300,0.325,0.7050000000000001,2,0.0033333333333333335,personalized
48,Torre Bellesguard,Pedralbes,0.75,450,0.48750000000000004,0.7175,0,0.0,personalized
49,Collserola viewpoints,Collserola,0.6,900,0.39,0.6669999999999999,0,0.0,personalized
32,Bunkers del Carmel,El Carmel,0.7,400,0.45499999999999996,0.379,0,0.0,personalized
45,Sant Andreu old town,Sant Andreu,0.8,700,0.52,0.5609999999999999,0,0.0,personalized
29,Poble Sec,Poble Sec,0.6,300,0.39,0.592,0,0.0,personalized
4,History Museum of Catalonia,La Rambla,0.6,300,0.5900000000000001,0.34199999999999997,0,0.0,personalized
40,Rambla del Poblenou,Poblenou,0.8,1500,0.52,0.41100000000000003,0,0.0,personalized
31,Temple del Tibidabo,Horta,0.75,600,0.48750000000000004,0.4225,0,0.0,personalized
3,Picasso Museum,El Raval,0.7,500,0.655,0.409,0,0.0,personalized
35,Gracia squares,Vila de Gracia,0.7,300,0.45499999999999996,0.604,0,0.0,personalized
44,Fabra i Coats,Sant Andreu,0.7,450,0.45499999999999996,0.754,0,0.0,personalized
0,Barcelona Cathedral,Gotic,0.95,1000,0.8174999999999999,0.6014999999999999,342,0.102,sustainable
51,Pedralbes Monastery,Pedralbes,0.75,300,0.48750000000000004,0.6725000000000001,247,0.30666666666666664,sustainable
30,Park Güell,Vila de Gracia,0.85,700,0.5525,0.6845,243,0.08285714285714285,sustainable
46,Clot Park,El Clot,0.7,700,0.45499999999999996,0.679,230,0.08,sustainable
1,Mercat de la Boqueria,La Barceloneta,0.75,600,0.6875,0.5075000000000001,196,0.12666666666666668,sustainable
44,Fabra i Coats,Sant Andreu,0.7,450,0.45499999999999996,0.754,195,0.10444444444444445,sustainable
36,Guinardo Park,Guinardo,0.5,300,0.325,0.7050000000000001,194,0.15333333333333332,sustainable
34,Labyrinth Park of Horta,Horta,0.65,400,0.42250000000000004,0.6555,187,0.1125,sustainable
28,Port Vell promenade,Port Vell,0.8,500,0.52,0.6435,186,0.088,sustainable
38,Glories Tower,Glories,0.85,700,0.5525,0.4595000000000001,177,0.06,sustainable
37,Fabra Observatory,El Carmel,0.4,200,0.26,0.768,171,0.215,sustainable
8,Born Cultural Centre,El Born,0.75,500,0.6875,0.7025,149,0.086,sustainable
54,Monastery gardens,Sant Gervasi,0.75,700,0.48750000000000004,0.6425000000000001,129,0.04857142857142857,sustainable
50,Sarria old town,Sarria,0.7,700,0.45499999999999996,0.574,128,0.04857142857142857,sustainable
5,Palau Guell,El Raval,0.8,300,0.72,0.35100000000000003,128,0.10333333333333333,sustainable
56,Sant Gervasi market area,Sant Gervasi,0.75,700,0.48750000000000004,0.5925,123,0.04,sustainable
52,CosmoCaixa,Collserola,0.6,900,0.39,0.742,121,0.04111111111111111,sustainable
41,Bogatell Beach,Diagonal Mar,0.7,700,0.45499999999999996,0.649,118,0.041428571428571426,sustainable
29,Poble Sec,Poble Sec,0.6,300,0.39,0.592,114,0.1,sustainable
42,Forum Park,Sant Marti,0.8,700,0.52,0.6535,110,0.04,sustainable
33,Mercat de la Llibertat,Vila de Gracia,0.7,500,0.45499999999999996,0.499,107,0.058,sustainable
22,Poble Espanyol,Montjuic,0.75,500,0.48750000000000004,0.6175,98,0.044,sustainable
53,Carretera de les Aigues,Collserola,0.6,900,0.39,0.6795,97,0.027777777777777776,sustainable
47,Camp Nou Museum,Sarria,0.8,300,0.52,0.5785,96,0.08333333333333333,sustainable
39,Design Museum,Diagonal Mar,0.75,450,0.48750000000000004,0.5425,94,0.044444444444444446,sustainable
7,Barceloneta Beach,La Barceloneta,0.9,1000,0.7850000000000001,0.5505,94,0.029,sustainable
43,Natural Science Museum,Sant Marti,0.6,450,0.39,0.587,89,0.05333333333333334,sustainable
25,Olympic Stadium,Montjuic,0.7,500,0.45499999999999996,0.624,87,0.038,sustainable
15,Joan Miró Park,Dreta Eixample,0.85,700,0.7525,0.5495,75,0.03142857142857143,sustainable
12,Mercat dels Encants,Dreta Eixample,0.9,700,0.7850000000000001,0.293,63,0.022857142857142857,sustainable
