poi_id,poi_name,neighbourhood,lat,lon,categories,popularity,capacity,cost,outdoor,culture,local_economy,green,is_central,baseline_pressure,sustainable_value,architecture,religious,museum,park,market,food,beach,viewpoint,shopping,nightlife,family,science,local
0,Barcelona Cathedral,Gotic,41.3862,2.1799,"architecture,museum,religious",0.95,1000,10.0,0.4,0.8,0.7,0.6,True,0.8174999999999999,0.6014999999999999,1,1,1,0,0,0,0,0,0,0,0,0,0
1,Mercat de la Boqueria,La Barceloneta,41.3925,2.1828,"market,food",0.75,600,0.0,0.9,0.4,1.0,0.3,True,0.6875,0.5075000000000001,0,0,0,0,1,1,0,0,0,0,0,0,0
2,Ciutadella Park,El Born,41.3867,2.1953,"park,viewpoint",0.8,1000,0.0,0.9,0.6,0.5,0.75,True,0.72,0.5485,0,0,0,1,0,0,0,1,0,0,0,0,0
3,Picasso Museum,El Raval,41.3829,2.1694,museum,0.7,500,10.0,0.3,0.8,0.4,0.0,True,0.655,0.409,0,0,1,0,0,0,0,0,0,0,0,0,0
4,History Museum of Catalonia,La Rambla,41.3927,2.1856,museum,0.6,300,10.0,0.3,0.7,0.2,0.0,True,0.5900000000000001,0.34199999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Palau Guell,El Raval,41.3856,2.1799,"architecture,museum",0.8,300,15.0,0.9,0.65,0.4,0.0,True,0.72,0.35100000000000003,1,0,1,0,0,0,0,0,0,0,0,0,0
6,Maritime Museum,La Barceloneta,41.3895,2.1767,"museum,science",0.7,400,10.0,0.3,0.65,0.2,0.0,True,0.655,0.314,0,0,1,0,0,0,0,0,0,0,0,1,0
7,Barceloneta Beach,La Barceloneta,41.3897,2.1765,"beach,viewpoint",0.9,1000,0.0,0.9,0.4,0.8,0.75,True,0.7850000000000001,0.5505,0,0,0,0,0,0,1,1,0,0,0,0,0
8,Born Cultural Centre,El Born,41.3869,2.1937,local,0.75,500,0.0,0.5,0.8,1.0,0.6,True,0.6875,0.7025,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Sant Pere Church,Gotic,41.3872,2.1951,"architecture,religious",0.6,200,10.0,0.3,0.7,0.4,0.0,True,0.5900000000000001,0.392,1,1,0,0,0,0,0,0,0,0,0,0,0
10,Casa Batllo,Dreta Eixample,41.3862,2.1795,"architecture,local",0.85,300,10.0,0.75,0.65,0.9,0.0,True,0.7525,0.46950000000000003,1,0,0,0,0,0,0,0,0,0,0,0,1
11,La Pedrera,Dreta Eixample,41.3872,2.1806,"architecture,local",0.85,300,10.0,0.75,0.65,0.9,0.0,True,0.7525,0.46950000000000003,1,0,0,0,0,0,0,0,0,0,0,0,1
12,Mercat dels Encants,Dreta Eixample,41.3875,2.1806,"market,local",0.9,700,0.0,0.75,0.0,1.0,0.0,True,0.7850000000000001,0.293,0,0,0,0,1,0,0,0,0,0,0,0,1
13,Casa Amatller,Dreta Eixample,41.3862,2.1795,"architecture,local",0.85,300,10.0,0.75,0.65,0.9,0.0,True,0.7525,0.46950000000000003,1,0,0,0,0,0,0,0,0,0,0,0,1
14,Sant Antoni Market,Dreta Eixample,41.3875,2.1806,"market,local",0.9,700,0.0,0.75,0.0,1.0,0.0,True,0.7850000000000001,0.293,0,0,0,0,1,0,0,0,0,0,0,0,1
15,Joan Miró Park,Dreta Eixample,41.3862,2.1795,"park,local",0.85,700,0.0,0.75,0.0,1.0,1.0,True,0.7525,0.5495,0,0,0,1,0,0,0,0,0,0,0,0,1
16,Casa Vicens,Dreta Eixample,41.3862,2.1795,"architecture,local",0.85,300,10.0,0.75,0.65,0.9,0.0,True,0.7525,0.46950000000000003,1,0,0,0,0,0,0,0,0,0,0,0,1
17,Palau Macaya,Dreta Eixample,41.3875,2.1806,"architecture,local",0.9,700,0.0,0.75,0.65,1.0,0.0,True,0.7850000000000001,0.488,1,0,0,0,0,0,0,0,0,0,0,0,1
18,Egyptian Museum,Dreta Eixample,41.3862,2.1795,"museum,local",0.85,300,10.0,0.35,0.65,0.9,0.0,True,0.7525,0.46950000000000003,0,0,1,0,0,0,0,0,0,0,0,0,1
19,Mercat de Gràcia,Dreta Eixample,41.3875,2.1806,"market,local",0.9,700,0.0,0.75,0.0,1.0,0.0,True,0.7850000000000001,0.293,0,0,0,0,1,0,0,0,0,0,0,0,1
20,MNAC,Montjuic,41.3928,2.1675,"architecture,museum,local",0.85,1000,10.0,0.9,0.7,0.7,0.4,False,0.5525,0.5745,1,0,1,0,0,0,0,0,0,0,0,0,1
21,Fundacio Joan Miro,Montjuic,41.3928,2.1675,"museum,local",0.8,200,10.0,0.9,0.8,0.7,0.3,False,0.52,0.586,0,0,1,0,0,0,0,0,0,0,0,0,1
22,Poble Espanyol,Montjuic,41.3928,2.1675,"architecture,museum,local",0.75,500,10.0,0.9,0.8,0.7,0.4,False,0.48750000000000004,0.6175,1,0,1,0,0,0,0,0,0,0,0,0,1
23,Magic Fountain,Montjuic,41.3928,2.1675,"viewpoint,museum",0.8,200,10.0,0.9,0.7,0.5,0.3,False,0.52,0.506,0,0,1,0,0,0,0,1,0,0,0,0,0
24,CaixaForum,Montjuic,41.3928,2.1675,"architecture,museum,local",0.7,300,10.0,0.9,0.8,0.7,0.4,False,0.45499999999999996,0.624,1,0,1,0,0,0,0,0,0,0,0,0,1
25,Olympic Stadium,Montjuic,41.3928,2.1675,"architecture,museum,local",0.7,500,10.0,0.9,0.8,0.7,0.4,False,0.45499999999999996,0.624,1,0,1,0,0,0,0,0,0,0,0,0,1
26,Joan Miro Foundation gardens,Montjuic,41.3928,2.1675,"park,museum",0.8,300,10.0,0.9,0.8,0.7,0.75,False,0.52,0.6985,0,0,1,1,0,0,0,0,0,0,0,0,0
27,Hostafrancs Market,Montjuic,41.3928,2.1675,"market,local",0.7,200,10.0,0.9,0.4,0.8,0.3,False,0.45499999999999996,0.504,0,0,0,0,1,0,0,0,0,0,0,0,1
28,Port Vell promenade,Port Vell,41.3928,2.1675,"viewpoint,beach,museum",0.8,500,10.0,0.9,0.7,0.6,0.75,False,0.52,0.6435,0,0,1,0,0,0,1,1,0,0,0,0,0
29,Poble Sec,Poble Sec,41.3895,2.1704,"architecture,local",0.6,300,10.0,0.8,0.65,0.7,0.4,False,0.39,0.592,1,0,0,0,0,0,0,0,0,0,0,0,1
30,Park Güell,Vila de Gracia,41.3862,2.1795,"architecture,park,museum,local",0.85,700,15.0,0.9,0.65,0.7,0.9,False,0.5525,0.6845,1,0,1,1,0,0,0,0,0,0,0,0,1
31,Temple del Tibidabo,Horta,41.3925,2.1795,"viewpoint,museum",0.75,600,18.0,0.9,0.65,0.3,0.2,False,0.48750000000000004,0.4225,0,0,1,0,0,0,0,1,0,0,0,0,0
32,Bunkers del Carmel,El Carmel,41.3957,2.1863,"architecture,viewpoint",0.7,400,0.0,0.9,0.65,0.2,0.1,False,0.45499999999999996,0.379,1,0,0,0,0,0,0,1,0,0,0,0,0
33,Mercat de la Llibertat,Vila de Gracia,41.3867,2.1795,"market,local",0.7,500,0.0,0.8,0.3,1.0,0.2,False,0.45499999999999996,0.499,0,0,0,0,1,0,0,0,0,0,0,0,1
34,Labyrinth Park of Horta,Horta,41.3915,2.1786,"park,local",0.65,400,0.0,0.9,0.3,1.0,0.8,False,0.42250000000000004,0.6555,0,0,0,1,0,0,0,0,0,0,0,0,1
35,Gracia squares,Vila de Gracia,41.3865,2.1793,"viewpoint,local",0.7,300,0.0,0.9,0.4,1.0,0.5,False,0.45499999999999996,0.604,0,0,0,0,0,0,0,1,0,0,0,0,1
36,Guinardo Park,Guinardo,41.3872,2.1806,"park,local",0.5,300,0.0,0.9,0.4,1.0,0.8,False,0.325,0.7050000000000001,0,0,0,1,0,0,0,0,0,0,0,0,1
37,Fabra Observatory,El Carmel,41.3957,2.1863,"science,local",0.4,200,0.0,0.9,0.65,1.0,0.7,False,0.26,0.768,0,0,0,0,0,0,0,0,0,0,0,1,1
38,Glories Tower,Glories,41.3862,2.1795,"viewpoint,architecture,museum",0.85,700,10.0,0.9,0.65,0.4,0.3,False,0.5525,0.4595000000000001,1,0,1,0,0,0,0,1,0,0,0,0,0
39,Design Museum,Diagonal Mar,41.3875,2.1695,"museum,architecture",0.75,450,15.0,0.3,0.8,0.2,0.6,False,0.48750000000000004,0.5425,1,0,1,0,0,0,0,0,0,0,0,0,0
40,Rambla del Poblenou,Poblenou,41.3952,2.1867,"viewpoint,shopping",0.8,1500,0.0,0.95,0.3,0.7,0.2,False,0.52,0.41100000000000003,0,0,0,0,0,0,0,1,1,0,0,0,0
41,Bogatell Beach,Diagonal Mar,41.3865,2.1695,"beach,local",0.7,700,0.0,0.95,0.3,1.0,0.8,False,0.45499999999999996,0.649,0,0,0,0,0,0,1,0,0,0,0,0,1
42,Forum Park,Sant Marti,41.3762,2.1595,"park,local",0.8,700,0.0,0.9,0.4,1.0,0.75,False,0.52,0.6535,0,0,0,1,0,0,0,0,0,0,0,0,1
43,Natural Science Museum,Sant Marti,41.3758,2.1595,"museum,science",0.6,450,10.0,0.3,0.8,0.2,0.7,False,0.39,0.587,0,0,1,0,0,0,0,0,0,0,0,1,0
44,Fabra i Coats,Sant Andreu,41.3956,2.1833,"architecture,local",0.7,450,10.0,0.3,0.65,1.0,0.8,False,0.45499999999999996,0.754,1,0,0,0,0,0,0,0,0,0,0,0,1
45,Sant Andreu old town,Sant Andreu,41.3952,2.1867,"local,viewpoint",0.8,700,0.0,0.9,0.3,1.0,0.5,False,0.52,0.5609999999999999,0,0,0,0,0,0,0,1,0,0,0,0,1
46,Clot Park,El Clot,41.3862,2.1795,"park,local",0.7,700,0.0,0.9,0.4,1.0,0.8,False,0.45499999999999996,0.679,0,0,0,1,0,0,0,0,0,0,0,0,1
47,Camp Nou Museum,Sarria,41.3862,2.1795,"museum,local",0.8,300,10.0,0.2,0.65,0.75,0.4,False,0.52,0.5785,0,0,1,0,0,0,0,0,0,0,0,0,1
48,Torre Bellesguard,Pedralbes,41.3928,2.1696,"architecture,local",0.75,450,15.0,0.8,0.8,0.9,0.6,False,0.48750000000000004,0.7175,1,0,0,0,0,0,0,0,0,0,0,0,1
49,Collserola viewpoints,Collserola,41.3752,2.1837,"viewpoint,local",0.6,900,0.0,0.9,0.4,1.0,0.7,False,0.39,0.6669999999999999,0,0,0,0,0,0,0,1,0,0,0,0,1
