precision_at_5,recall_at_5,diversity,constraint_respect,mean_recommendation_sustainability,strategy,step,tourist_id,recommended_poi_ids,recommended_poi_names,recommended_neighbourhoods
0.0,0.0,0.8083333333333333,1.0,0.4452,popularity,1,978,0|17|7|12|14,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Sant Antoni Market,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8083333333333333,0.8,0.4452,popularity,1,933,0|17|7|14|12,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Sant Antoni Market | Mercat dels Encants,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.4,0.125,0.8083333333333333,0.8,0.4452,popularity,1,859,0|17|7|12|19,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Mercat de Gràcia,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8,1.0,0.5015,popularity,1,916,0|17|7|20|19,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | MNAC | Mercat de Gràcia,Gotic | Dreta Eixample | La Barceloneta | Montjuic | Dreta Eixample
0.4,0.125,0.8,1.0,0.5015,popularity,1,127,0|17|7|20|19,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | MNAC | Mercat de Gràcia,Gotic | Dreta Eixample | La Barceloneta | Montjuic | Dreta Eixample
0.0,0.0,0.8083333333333333,1.0,0.4452,popularity,1,608,0|17|7|12|14,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Sant Antoni Market,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8083333333333333,1.0,0.4452,popularity,1,856,0|17|7|12|14,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Sant Antoni Market,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8083333333333333,1.0,0.4452,popularity,1,260,0|17|7|14|12,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Sant Antoni Market | Mercat dels Encants,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8083333333333333,1.0,0.4452,popularity,1,147,0|17|7|12|14,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Sant Antoni Market,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.2,0.0625,0.8083333333333333,1.0,0.4452,popularity,1,810,0|17|7|12|14,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Mercat dels Encants | Sant Antoni Market,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
0.4,0.125,0.8083333333333333,0.8,0.4452,popularity,1,635,0|17|7|14|12,Barcelona Cathedral | Palau Macaya | Barceloneta Beach | Sant Antoni Market | Mercat dels Encants,Gotic | Dreta Eixample | La Barceloneta | Dreta Eixample | Dreta Eixample
