strategy,step,poi_id,poi_name,neighbourhood,visits_this_step,capacity,crowd_ratio
popularity,1,0,Barcelona Cathedral,Gotic,423,1000,0.423
popularity,1,1,Mercat de la Boqueria,La Barceloneta,0,600,0.0
popularity,1,2,Ciutadella Park,El Born,0,1000,0.0
popularity,1,3,Picasso Museum,El Raval,0,500,0.0
popularity,1,4,History Museum of Catalonia,La Rambla,0,300,0.0
popularity,1,5,Palau Guell,El Raval,0,300,0.0
popularity,1,6,Maritime Museum,La Barceloneta,0,400,0.0
popularity,1,7,Barceloneta Beach,La Barceloneta,158,1000,0.158
popularity,1,8,Born Cultural Centre,El Born,0,500,0.0
popularity,1,9,Sant Pere Church,Gotic,0,200,0.0
popularity,1,10,Casa Batllo,Dreta Eixample,0,300,0.0
popularity,1,11,La Pedrera,Dreta Eixample,0,300,0.0
popularity,1,12,Mercat dels Encants,Dreta Eixample,116,700,0.1657142857142857
popularity,1,13,Casa Amatller,Dreta Eixample,0,300,0.0
popularity,1,14,Sant Antoni Market,Dreta Eixample,119,700,0.17
popularity,1,15,Joan Miró Park,Dreta Eixample,0,700,0.0
popularity,1,16,Casa Vicens,Dreta Eixample,0,300,0.0
popularity,1,17,Palau Macaya,Dreta Eixample,135,700,0.19285714285714287
popularity,1,18,Egyptian Museum,Dreta Eixample,0,300,0.0
popularity,1,19,Mercat de Gràcia,Dreta Eixample,36,700,0.05142857142857143
popularity,1,20,MNAC,Montjuic,13,1000,0.013
popularity,1,21,Fundacio Joan Miro,Montjuic,0,200,0.0
popularity,1,22,Poble Espanyol,Montjuic,0,500,0.0
popularity,1,23,Magic Fountain,Montjuic,0,200,0.0
popularity,1,24,CaixaForum,Montjuic,0,300,0.0
popularity,1,25,Olympic Stadium,Montjuic,0,500,0.0
popularity,1,26,Joan Miro Foundation gardens,Montjuic,0,300,0.0
popularity,1,27,Hostafrancs Market,Montjuic,0,200,0.0
popularity,1,28,Port Vell promenade,Port Vell,0,500,0.0
popularity,1,29,Poble Sec,Poble Sec,0,300,0.0
popularity,1,30,Park Güell,Vila de Gracia,0,700,0.0
popularity,1,31,Temple del Tibidabo,Horta,0,600,0.0
popularity,1,32,Bunkers del Carmel,El Carmel,0,400,0.0
popularity,1,33,Mercat de la Llibertat,Vila de Gracia,0,500,0.0
popularity,1,34,Labyrinth Park of Horta,Horta,0,400,0.0
popularity,1,35,Gracia squares,Vila de Gracia,0,300,0.0
popularity,1,36,Guinardo Park,Guinardo,0,300,0.0
popularity,1,37,Fabra Observatory,El Carmel,0,200,0.0
popularity,1,38,Glories Tower,Glories,0,700,0.0
popularity,1,39,Design Museum,Diagonal Mar,0,450,0.0
popularity,1,40,Rambla del Poblenou,Poblenou,0,1500,0.0
popularity,1,41,Bogatell Beach,Diagonal Mar,0,700,0.0
popularity,1,42,Forum Park,Sant Marti,0,700,0.0
popularity,1,43,Natural Science Museum,Sant Marti,0,450,0.0
popularity,1,44,Fabra i Coats,Sant Andreu,0,450,0.0
popularity,1,45,Sant Andreu old town,Sant Andreu,0,700,0.0
popularity,1,46,Clot Park,El Clot,0,700,0.0
popularity,1,47,Camp Nou Museum,Sarria,0,300,0.0
popularity,1,48,Torre Bellesguard,Pedralbes,0,450,0.0
popularity,1,49,Collserola viewpoints,Collserola,0,900,0.0
popularity,1,50,Sarria old town,Sarria,0,700,0.0
popularity,1,51,Pedralbes Monastery,Pedralbes,0,300,0.0
popularity,1,52,CosmoCaixa,Collserola,0,900,0.0
popularity,1,53,Carretera de les Aigues,Collserola,0,900,0.0
popularity,1,54,Monastery gardens,Sant Gervasi,0,700,0.0
popularity,1,55,Pedralbes Gardens,Pedralbes,0,700,0.0
popularity,1,56,Sant Gervasi market area,Sant Gervasi,0,700,0.0
popularity,2,0,Barcelona Cathedral,Gotic,201,1000,0.201
popularity,2,1,Mercat de la Boqueria,La Barceloneta,0,600,0.0
popularity,2,2,Ciutadella Park,El Born,0,1000,0.0
popularity,2,3,Picasso Museum,El Raval,0,500,0.0
popularity,2,4,History Museum of Catalonia,La Rambla,0,300,0.0
popularity,2,5,Palau Guell,El Raval,0,300,0.0
popularity,2,6,Maritime Museum,La Barceloneta,0,400,0.0
popularity,2,7,Barceloneta Beach,La Barceloneta,152,1000,0.152
popularity,2,8,Born Cultural Centre,El Born,0,500,0.0
popularity,2,9,Sant Pere Church,Gotic,0,200,0.0
popularity,2,10,Casa Batllo,Dreta Eixample,0,300,0.0
popularity,2,11,La Pedrera,Dreta Eixample,0,300,0.0
popularity,2,12,Mercat dels Encants,Dreta Eixample,154,700,0.22
popularity,2,13,Casa Amatller,Dreta Eixample,0,300,0.0
popularity,2,14,Sant Antoni Market,Dreta Eixample,148,700,0.21142857142857144
popularity,2,15,Joan Miró Park,Dreta Eixample,0,700,0.0
popularity,2,16,Casa Vicens,Dreta Eixample,0,300,0.0
popularity,2,17,Palau Macaya,Dreta Eixample,181,700,0.25857142857142856
