strategy,step,tourist_id,segment,poi_id,poi_name,neighbourhood,is_central,satisfaction,interest_match,distance_km,cost,crowd_ratio_after_visit,sustainable_value,local_economy,green,baseline_pressure,co2_kg
popularity,1,978,family_friendly,7,Barceloneta Beach,La Barceloneta,True,0.5341066888733065,0.04920393775134145,0.5335483388495165,0.0,0.001,0.5505,0.8,0.75,0.7850000000000001,0.0
popularity,1,933,science_lovers,0,Barcelona Cathedral,Gotic,True,0.5650122915629001,0.39296650355830814,2.11241869246302,10.0,0.001,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,859,family_friendly,19,Mercat de Gràcia,Dreta Eixample,True,0.48607181058948323,0.05135755116537048,0.713048687419635,0.0,0.0014285714285714286,0.293,1.0,0.0,0.7850000000000001,0.0
popularity,1,916,family_friendly,20,MNAC,Montjuic,False,0.5184488143405941,0.0884400515112661,0.090594186746852,10.0,0.001,0.5745,0.7,0.4,0.5525,0.0
popularity,1,127,science_lovers,19,Mercat de Gràcia,Dreta Eixample,True,0.4750113907868302,0.05104889504320026,0.9423915185067675,0.0,0.002857142857142857,0.293,1.0,0.0,0.7850000000000001,0.0
popularity,1,608,family_friendly,7,Barceloneta Beach,La Barceloneta,True,0.5238692662346733,0.048789880875061045,0.8031364166581567,0.0,0.002,0.5505,0.8,0.75,0.7850000000000001,0.0
popularity,1,856,architecture_fans,17,Palau Macaya,Dreta Eixample,True,0.658164586094817,0.3426809000557227,1.1960594729795841,0.0,0.0014285714285714286,0.488,1.0,0.0,0.7850000000000001,0.0
popularity,1,260,architecture_fans,0,Barcelona Cathedral,Gotic,True,0.8410896586866776,0.75402067844599,1.3844916501068678,10.0,0.002,0.6014999999999999,0.7,0.6,0.8174999999999999,0.04845720775374038
popularity,1,147,religion_fans,0,Barcelona Cathedral,Gotic,True,0.8081725286502224,0.6654703955740895,0.9121900933651277,10.0,0.003,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,810,architecture_fans,17,Palau Macaya,Dreta Eixample,True,0.6289150808066776,0.37122491091944265,0.5683112398450925,0.0,0.002857142857142857,0.488,1.0,0.0,0.7850000000000001,0.0
popularity,1,635,beach_enthusiasts,7,Barceloneta Beach,La Barceloneta,True,0.7512614625639307,0.5549958858008359,0.72749971861176,0.0,0.003,0.5505,0.8,0.75,0.7850000000000001,0.0
popularity,1,972,food_lovers,14,Sant Antoni Market,Dreta Eixample,True,0.6861813316883777,0.3519949457069793,0.5716078375114365,0.0,0.0014285714285714286,0.293,1.0,0.0,0.7850000000000001,0.0
popularity,1,593,architecture_fans,0,Barcelona Cathedral,Gotic,True,0.8077632568704234,0.724493653855717,1.3272022608794138,10.0,0.004,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,994,religion_fans,0,Barcelona Cathedral,Gotic,True,0.779289025554155,0.588531605193318,0.1380765499985621,10.0,0.005,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,285,science_lovers,0,Barcelona Cathedral,Gotic,True,0.6242701371274515,0.3996833822388073,0.8826450807149396,10.0,0.006,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,554,architecture_fans,0,Barcelona Cathedral,Gotic,True,0.8573848789069127,0.7423285681077827,0.2540235378795723,10.0,0.007,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,467,architecture_fans,0,Barcelona Cathedral,Gotic,True,0.8939024364764776,0.7400508627854568,0.20340886880673828,10.0,0.008,0.6014999999999999,0.7,0.6,0.8174999999999999,0.0
popularity,1,276,architecture_fans,0,Barcelona Cathedral,Gotic,True,0.8696008584338071,0.7018047969390406,1.5650544981987782,10.0,0.009,0.6014999999999999,0.7,0.6,0.8174999999999999,0.05477690743695724
popularity,1,55,food_lovers,14,Sant Antoni Market,Dreta Eixample,True,0.6643228870134088,0.38559937248305914,2.0344412641293004,0.0,0.002857142857142857,0.293,1.0,0.0,0.7850000000000001,0.07120544424452552
popularity,1,61,food_lovers,17,Palau Macaya,Dreta Eixample,True,0.456160723181936,0.05331054750045532,1.5720985046121567,0.0,0.004285714285714286,0.488,1.0,0.0,0.7850000000000001,0.0
popularity,1,839,science_lovers,7,Barceloneta Beach,La Barceloneta,True,0.5361141821385459,0.05719602430769256,1.0301709604440388,0.0,0.004,0.5505,0.8,0.75,0.7850000000000001,0.0
popularity,1,425,science_lovers,14,Sant Antoni Market,Dreta Eixample,True,0.5279890325600073,0.050475861402484036,0.9477558233461062,0.0,0.004285714285714286,0.293,1.0,0.0,0.7850000000000001,0.0
popularity,1,82,religion_fans,12,Mercat dels Encants,Dreta Eixample,True,0.4989311939643082,0.07809839381006882,1.639292406089256,0.0,0.0014285714285714286,0.293,1.0,0.0,0.7850000000000001,0.05737523421312397
