strategy,total_visits,avg_satisfaction,avg_interest_match,avg_distance_km,total_co2_kg,avg_visit_sustainability,avg_local_economy,green_visit_share,central_visit_share,hotspot_visit_share,poi_coverage,neighbourhood_entropy,poi_visit_gini,neighbourhood_visit_gini,top_5_poi_visit_share,top_3_neighbourhood_visit_share,overcrowding_index,max_slot_crowd_ratio,visit_over_capacity_share,avg_precision_at_5,avg_recall_at_5,avg_diversity,avg_constraint_respect,avg_mean_recommendation_sustainability,seed
popularity,3000,0.6279439767853978,0.3472899830605467,1.8769638477106594,147.60911487750604,0.4724583,0.4535999999999999,0.19333333333333333,0.8633333333333333,0.6986666666666667,0.18032786885245902,0.5663808401049614,0.8730491803278688,0.802183908045977,0.6713333333333333,0.5483333333333333,0.0,0.2018181818181818,0.0,0.37133333333333335,0.11131740196078431,0.795225238095238,0.7130666666666666,0.4694444133333333,10
personalized,3000,0.6989230560605405,0.5302475085326375,2.7502404611849944,231.42587949890043,0.5306227333333333,0.5469966666666666,0.186,0.5283333333333333,0.3303333333333333,0.6885245901639344,0.8720137833666206,0.6160218579234973,0.4815172413793103,0.322,0.27466666666666667,0.0,0.10777777777777778,0.0,0.9934000000000001,0.29945220588235294,0.5818323015873016,0.8732000000000001,0.5345091133333334,10
sustainable,3000,0.672409828497693,0.4937625622592987,2.736491135769265,235.1083794687493,0.5759007666666667,0.6387533333333333,0.218,0.308,0.18066666666666667,0.8852459016393442,0.9854466710765477,0.4604371584699454,0.15857471264367806,0.19566666666666666,0.14733333333333334,0.0,0.1,0.0,0.8383333333333334,0.2527463235294118,0.6034192857142857,0.9575333333333335,0.5908423533333333,10
popularity,3000,0.6305718726548091,0.34859676849098953,1.908418397574046,162.89429588790378,0.4744304333333333,0.45504999999999995,0.202,0.859,0.7023333333333334,0.16393442622950818,0.5658977958752964,0.8757486338797813,0.8011954022988506,0.6873333333333334,0.5443333333333333,0.0,0.17272727272727273,0.0,0.3900666666666666,0.11703799019607844,0.8002544444444445,0.7183333333333334,0.4699826666666666,20
personalized,3000,0.6951656540427451,0.520054812579085,2.7330758905587564,237.55283424408694,0.5263073666666667,0.5269666666666666,0.193,0.5446666666666666,0.34,0.7377049180327869,0.8681802489795912,0.6256612021857924,0.49245977011494246,0.3353333333333333,0.29633333333333334,0.0,0.11222222222222222,0.0,0.9936666666666667,0.29953431372549016,0.5871201587301588,0.8730666666666667,0.5326038733333334,20
sustainable,3000,0.6656925733014383,0.4784178373396497,2.6775240869745067,250.42977967623995,0.5765667,0.6301733333333334,0.224,0.30433333333333334,0.17466666666666666,0.8852459016393442,0.9879687030515334,0.44796721311475407,0.14004597701149413,0.18866666666666668,0.139,0.0,0.096,0.0,0.8114666666666666,0.2446176470588235,0.6154832539682539,0.9631333333333334,0.5895143933333333,20
popularity,3000,0.627931530190569,0.3430738670689775,1.9187519321619084,159.22552138711976,0.47329480000000007,0.4512166666666666,0.19933333333333333,0.8586666666666667,0.6913333333333334,0.18032786885245902,0.5648102331639707,0.8738032786885246,0.803287356321839,0.6726666666666666,0.5533333333333333,0.0,0.21272727272727274,0.0,0.37133333333333335,0.11140686274509805,0.7961074603174602,0.7227333333333332,0.4684608,30
personalized,3000,0.6995290315697887,0.5257842169696717,2.7812190613429926,256.8546644368831,0.5327013666666667,0.5339833333333333,0.21966666666666668,0.5206666666666667,0.32033333333333336,0.7213114754098361,0.8775907110571224,0.6094972677595629,0.4743218390804598,0.324,0.281,0.0,0.10222222222222223,0.0,0.9944666666666667,0.2997769607843137,0.5804498412698412,0.874,0.5369189333333333,30
sustainable,3000,0.6719211707125592,0.48759113804902277,2.7402695987104453,250.30888431951826,0.5776140666666667,0.6325133333333334,0.239,0.31,0.174,0.9180327868852459,0.9878288161612925,0.4461639344262296,0.14052873563218382,0.18866666666666668,0.136,0.0,0.088,0.0,0.8137333333333333,0.24529656862745097,0.6121937301587302,0.959,0.5935073866666667,30
popularity,3000,0.6245355496053124,0.3401146184837643,1.9199272874092197,153.9527755608454,0.47411929999999997,0.45543333333333325,0.19833333333333333,0.857,0.697,0.16393442622950818,0.5640301408509691,0.8754972677595627,0.8025287356321837,0.6846666666666666,0.5506666666666666,0.0,0.1781818181818182,0.0,0.36766666666666664,0.1102046568627451,0.7958536507936507,0.6996666666666667,0.46952474,40
personalized,3000,0.6952787162384236,0.5264334043858304,2.7573017659449675,225.52912217382263,0.5320902666666667,0.54465,0.19633333333333333,0.5173333333333333,0.321,0.7377049180327869,0.8754715026110894,0.6045136612021857,0.47645977011494245,0.323,0.273,0.0,0.09888888888888889,0.0,0.9933333333333333,0.299438725490196,0.587076507936508,0.8638666666666668,0.5353022333333334,40
sustainable,3000,0.6684241187527151,0.48849716706040663,2.7584135852568457,228.38174347740446,0.5768487666666666,0.63667,0.22533333333333333,0.31066666666666665,0.18166666666666667,0.819672131147541,0.9859583601531647,0.45761748633879784,0.15383908045977002,0.19333333333333333,0.14433333333333334,0.0,0.1,0.0,0.8322666666666667,0.25074264705882354,0.6056909523809524,0.9609333333333334,0.5957732866666667,40
