poi_id,poi_name,neighbourhood,lat,lon,categories,popularity,capacity,cost,outdoor,culture,local_economy,green,is_central,baseline_pressure,sustainable_value,architecture,religious,museum,park,market,food,beach,viewpoint,shopping,nightlife,family,science,local
0,Sagrada Familia,Sagrada Familia,41.4036,2.1744,"religious,architecture,museum",1.0,900,26,0.2,0.95,0.3,0.1,True,0.8500000000000001,0.415,1,1,1,0,0,0,0,0,0,0,0,0,0
1,Park Guell,La Salut,41.4145,2.1527,"park,architecture,viewpoint,family",0.95,850,10,0.9,0.85,0.35,0.9,False,0.6174999999999999,0.644,1,0,0,1,0,0,0,1,0,0,1,0,0
2,Casa Batllo,Dreta Eixample,41.3917,2.1649,"architecture,museum",0.91,500,35,0.2,0.9,0.3,0.05,True,0.7915000000000001,0.3992,1,0,1,0,0,0,0,0,0,0,0,0,0
3,La Pedrera,Dreta Eixample,41.3954,2.1619,"architecture,museum",0.88,450,28,0.2,0.9,0.3,0.05,True,0.772,0.4031,1,0,1,0,0,0,0,0,0,0,0,0,0
4,La Rambla,La Rambla,41.38,2.173,"food,shopping,nightlife,local",0.93,1200,0,0.8,0.7,0.45,0.2,True,0.8045,0.4116,0,0,0,0,0,1,0,0,1,1,0,0,1
5,Mercat de la Boqueria,El Raval,41.3817,2.1717,"market,food,local",0.9,650,0,0.3,0.7,0.85,0.1,True,0.7850000000000001,0.4905,0,0,0,0,1,1,0,0,0,0,0,0,1
6,Barri Gotic,Gotic,41.3839,2.1763,"architecture,shopping,nightlife,local",0.89,1000,0,0.8,0.85,0.55,0.2,True,0.7785,0.4868,1,0,0,0,0,0,0,0,1,1,0,0,1
7,Barcelona Cathedral,Gotic,41.3839,2.1762,"religious,architecture",0.84,550,14,0.2,0.92,0.35,0.05,True,0.746,0.42680000000000007,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Santa Maria del Mar,El Born,41.3839,2.1821,"religious,architecture",0.72,400,5,0.2,0.9,0.5,0.05,True,0.6679999999999999,0.47390000000000004,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Picasso Museum,El Born,41.3852,2.1809,museum,0.78,350,14,0.1,0.94,0.45,0.05,True,0.7070000000000001,0.46559999999999996,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Ciutadella Park,Sant Pere,41.3881,2.1875,"park,family,local",0.69,1000,0,0.95,0.7,0.55,0.95,True,0.6485,0.6553,0,0,0,1,0,0,0,0,0,0,1,0,1
11,Arc de Triomf,Sant Pere,41.391,2.1806,"architecture,viewpoint",0.61,700,0,0.9,0.7,0.45,0.25,True,0.5965,0.4657,1,0,0,0,0,0,0,1,0,0,0,0,0
12,Barceloneta Beach,La Barceloneta,41.3784,2.1926,"beach,family,nightlife",0.82,1100,0,1.0,0.45,0.55,0.85,True,0.7330000000000001,0.5384,0,0,0,0,0,0,1,0,0,1,1,0,0
13,Montjuic Castle,Montjuic,41.3635,2.166,"viewpoint,museum,family",0.63,500,12,0.75,0.86,0.45,0.65,False,0.40950000000000003,0.6511,0,0,1,0,0,0,0,1,0,0,1,0,0
14,Magic Fountain,Montjuic,41.3712,2.1517,"viewpoint,family",0.76,900,0,0.95,0.6,0.4,0.45,False,0.49400000000000005,0.4937,0,0,0,0,0,0,0,1,0,0,1,0,0
