precision_at_5,recall_at_5,diversity,constraint_respect,mean_recommendation_sustainability,strategy,step,recommended_poi_ids,recommended_poi_names,recommended_neighbourhoods
0.6,0.17647058823529413,0.8357142857142856,0.8,0.48957999999999996,popularity,1,4|0|1|6|5,La Rambla | Sagrada Familia | Park Guell | Barri Gotic | Mercat de la Boqueria,La Rambla | Sagrada Familia | La Salut | Gotic | El Raval
0.8,0.23529411764705882,0.7857142857142857,1.0,0.47131999999999996,popularity,1,0|1|4|2|6,Sagrada Familia | Park Guell | La Rambla | Casa Batllo | Barri Gotic,Sagrada Familia | La Salut | La Rambla | Dreta Eixample | Gotic
0.6,0.17647058823529413,0.8357142857142856,0.8,0.48957999999999996,popularity,1,0|1|4|6|5,Sagrada Familia | Park Guell | La Rambla | Barri Gotic | Mercat de la Boqueria,Sagrada Familia | La Salut | La Rambla | Gotic | El Raval
0.4,0.11764705882352941,0.8357142857142856,0.8,0.48957999999999996,popularity,1,0|1|4|5|6,Sagrada Familia | Park Guell | La Rambla | Mercat de la Boqueria | Barri Gotic,Sagrada Familia | La Salut | La Rambla | El Raval | Gotic
0.8,0.23529411764705882,0.8357142857142856,0.8,0.48957999999999996,popularity,1,1|0|4|5|6,Park Guell | Sagrada Familia | La Rambla | Mercat de la Boqueria | Barri Gotic,La Salut | Sagrada Familia | La Rambla | El Raval | Gotic
0.6,0.17647058823529413,0.8357142857142856,0.6,0.48957999999999996,popularity,1,4|1|0|5|6,La Rambla | Park Guell | Sagrada Familia | Mercat de la Boqueria | Barri Gotic,La Rambla | La Salut | Sagrada Familia | El Raval | Gotic
0.2,0.058823529411764705,0.8357142857142856,0.8,0.48957999999999996,popularity,1,4|1|5|6|0,La Rambla | Park Guell | Mercat de la Boqueria | Barri Gotic | Sagrada Familia,La Rambla | La Salut | El Raval | Gotic | Sagrada Familia
0.4,0.11764705882352941,0.8357142857142856,0.8,0.48957999999999996,popularity,1,4|0|1|5|6,La Rambla | Sagrada Familia | Park Guell | Mercat de la Boqueria | Barri Gotic,La Rambla | Sagrada Familia | La Salut | El Raval | Gotic
0.6,0.17647058823529413,0.8357142857142856,0.8,0.48957999999999996,popularity,1,0|1|4|5|6,Sagrada Familia | Park Guell | La Rambla | Mercat de la Boqueria | Barri Gotic,Sagrada Familia | La Salut | La Rambla | El Raval | Gotic
0.8,0.23529411764705882,0.8357142857142856,0.8,0.48957999999999996,popularity,1,4|0|1|6|5,La Rambla | Sagrada Familia | Park Guell | Barri Gotic | Mercat de la Boqueria,La Rambla | Sagrada Familia | La Salut | Gotic | El Raval
0.6,0.17647058823529413,0.8357142857142856,0.8,0.48957999999999996,popularity,1,0|1|4|6|5,Sagrada Familia | Park Guell | La Rambla | Barri Gotic | Mercat de la Boqueria,Sagrada Familia | La Salut | La Rambla | Gotic | El Raval
