strategy,step,poi_id,poi_name,neighbourhood,visits_this_step,capacity,crowd_ratio
popularity,1,0,Sagrada Familia,Sagrada Familia,457,900,0.5077777777777778
popularity,1,1,Park Guell,La Salut,456,850,0.5364705882352941
popularity,1,2,Casa Batllo,Dreta Eixample,73,500,0.146
popularity,1,3,La Pedrera,Dreta Eixample,11,450,0.024444444444444446
popularity,1,4,La Rambla,La Rambla,400,1200,0.3333333333333333
popularity,1,5,Mercat de la Boqueria,El Raval,279,650,0.42923076923076925
popularity,1,6,Barri Gotic,Gotic,324,1000,0.324
popularity,1,7,Barcelona Cathedral,Gotic,0,550,0.0
popularity,1,8,Santa Maria del Mar,El Born,0,400,0.0
popularity,1,9,Picasso Museum,El Born,0,350,0.0
popularity,1,10,Ciutadella Park,Sant Pere,0,1000,0.0
popularity,1,11,Arc de Triomf,Sant Pere,0,700,0.0
popularity,1,12,Barceloneta Beach,La Barceloneta,0,1100,0.0
popularity,1,13,Montjuic Castle,Montjuic,0,500,0.0
popularity,1,14,Magic Fountain,Montjuic,0,900,0.0
popularity,1,15,MNAC,Montjuic,0,450,0.0
popularity,1,16,Fundacio Joan Miro,Montjuic,0,280,0.0
popularity,1,17,Poble Espanyol,Montjuic,0,500,0.0
popularity,1,18,Palau de la Musica,Sant Pere,0,300,0.0
popularity,1,19,Camp Nou Museum,Les Corts,0,700,0.0
popularity,1,20,Temple del Tibidabo,Tibidabo,0,450,0.0
popularity,1,21,Tibidabo Park,Tibidabo,0,600,0.0
popularity,1,22,Bunkers del Carmel,El Carmel,0,400,0.0
popularity,1,23,Hospital de Sant Pau,Guinardo,0,400,0.0
popularity,1,24,Gracia Squares,Vila de Gracia,0,700,0.0
popularity,1,25,Mercat dels Encants,Fort Pienc,0,500,0.0
popularity,1,26,Design Museum,Glories,0,300,0.0
popularity,1,27,Torre Glories,Glories,0,300,0.0
popularity,1,28,Rambla del Poblenou,Poblenou,0,600,0.0
popularity,1,29,Bogatell Beach,Poblenou,0,800,0.0
popularity,1,30,Forum Park,Diagonal Mar,0,900,0.0
popularity,1,31,Sant Pau del Camp,El Raval,0,200,0.0
popularity,1,32,Maritime Museum,El Raval,0,350,0.0
popularity,1,33,CCCB,El Raval,0,300,0.0
popularity,1,34,MACBA,El Raval,0,320,0.0
popularity,1,35,Born Centre Cultural,El Born,0,350,0.0
popularity,1,36,History Museum of Catalonia,La Barceloneta,0,300,0.0
popularity,1,37,Sant Antoni Market,Sant Antoni,0,450,0.0
popularity,1,38,Hostafrancs Market,Hostafrancs,0,350,0.0
popularity,1,39,Joan Miro Park,Nova Esquerra Eixample,0,600,0.0
popularity,1,40,Pedralbes Monastery,Pedralbes,0,250,0.0
popularity,1,41,Pedralbes Gardens,Pedralbes,0,650,0.0
popularity,1,42,Labyrinth Park of Horta,Horta,0,500,0.0
popularity,1,43,Fabra i Coats,Sant Andreu,0,300,0.0
popularity,1,44,Sant Andreu Old Town,Sant Andreu,0,450,0.0
popularity,1,45,Clot Park,El Clot,0,450,0.0
popularity,1,46,Can Framis Museum,Poblenou,0,220,0.0
popularity,1,47,Palo Alto Market,Poblenou,0,350,0.0
popularity,1,48,Torre Bellesguard,Sant Gervasi,0,180,0.0
popularity,1,49,CosmoCaixa,Sant Gervasi,0,550,0.0
popularity,1,50,Museu Frederic Mares,Gotic,0,180,0.0
popularity,1,51,Chocolate Museum,El Born,0,220,0.0
popularity,1,52,Creueta del Coll Park,La Salut,0,500,0.0
popularity,1,53,Sarria Old Town,Sarria,0,400,0.0
popularity,1,54,Mercat de la Llibertat,Vila de Gracia,0,300,0.0
popularity,1,55,Guinardo Park,Guinardo,0,700,0.0
popularity,1,56,Carretera de les Aigues,Collserola,0,800,0.0
