tourist_id,segment,budget,max_cost,mobility,max_distance,crowd_aversion,sustainability_sensitivity,outdoor_preference,with_kids,hotel_neighbourhood,current_lat,current_lon,visited,architecture,religious,museum,park,market,food,beach,viewpoint,shopping,nightlife,family,science,local
0,beach_nightlife,medium,21.752255979032284,transit,5.659241435213547,0.1584461300722221,0.6044946477105115,0.7388155243762319,False,Vila de Gracia,41.40043502963062,2.156432795369983,,0.013703542972145355,0.013703542972145355,0.013703542972145355,0.013703542972145355,0.013703542972145355,0.2349468190444086,0.17590152443352625,0.013703542972145355,0.22236832332912612,0.24345144644363081,0.013703542972145355,0.013703542972145355,0.013703542972145355
1,architecture_fans,medium,19.82722032182039,walk,2.7710125924576454,0.5093481881929166,0.1959961967719539,0.21628010131660833,False,Sant Andreu,41.43145102908372,2.1870449090870085,,0.21480607089420006,0.2535067159026727,0.20179943746621598,0.01639762650037422,0.01639762650037422,0.01639762650037422,0.01639762650037422,0.18230913723354328,0.01639762650037422,0.01639762650037422,0.01639762650037422,0.01639762650037422,0.01639762650037422
2,architecture_fans,low,7.578238797379968,transit,9.936157650384345,0.4923110587891593,0.26741681533203276,0.4901631128949775,False,Dreta Eixample,41.389244488607034,2.163799430995093,,0.21597748087244673,0.19324207220479092,0.27391007007488616,0.016277792494693962,0.016277792494693962,0.016277792494693962,0.016277792494693962,0.1703702443956305,0.016277792494693962,0.016277792494693962,0.016277792494693962,0.016277792494693962,0.016277792494693962
3,history_religion,medium,21.452426770338842,transit,10.487287463744895,0.6234849811069169,0.3577140806769901,0.4787737864726543,False,Dreta Eixample,41.39362710095023,2.1622522962357333,,0.1747564595742085,0.210574277507066,0.17872229847210733,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.016330548921159066,0.2889720241561866
4,museum_culture,medium,16.10918722980305,taxi,14.230007231726358,0.7679380608280311,0.7701640310659023,0.3353388285338201,False,Dreta Eixample,41.39097824976853,2.1610999117803575,,0.18238304721854579,0.017084175443786338,0.25965850125795026,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.017084175443786338,0.17652930521550175,0.22767156731392516
5,food_local_markets,low,7.7137421182990185,walk,2.5515825160087378,0.8371519399406263,0.4156334377449173,0.8486159232716356,False,Les Corts,41.38444076078738,2.124493255409775,,0.016806124018220042,0.016806124018220042,0.016806124018220042,0.016806124018220042,0.2380651199326104,0.21264035770168688,0.016806124018220042,0.016806124018220042,0.1709669625402845,0.016806124018220042,0.016806124018220042,0.016806124018220042,0.22707244366143786
6,beach_nightlife,high,36.730921303690494,transit,5.760030187948105,0.398356567042546,0.1044175027359238,0.7415479446009668,False,Dreta Eixample,41.39292274706781,2.1719717196543193,,0.015631499562999956,0.015631499562999956,0.015631499562999956,0.015631499562999956,0.015631499562999956,0.2733691128793539,0.22072391795404403,0.015631499562999956,0.17689953185879712,0.18832394124080537,0.015631499562999956,0.015631499562999956,0.015631499562999956
7,architecture_fans,medium,11.610312128401903,mixed,7.491648116741695,0.3274242336756054,0.7125645467819121,0.5663797105530812,False,Montjuic,41.37164330455841,2.159224006966827,,0.2281582180486941,0.1784465376050711,0.26210706166069003,0.015421240744126027,0.015421240744126027,0.015421240744126027,0.015421240744126027,0.1924970159884105,0.015421240744126027,0.015421240744126027,0.015421240744126027,0.015421240744126027,0.015421240744126027
8,beach_nightlife,high,37.95902506623943,walk,1.2320534617288634,0.46122964982321785,0.457396786065639,0.6164223718517827,False,Gotic,41.3864757551731,2.168099311595876,,0.01502993228215332,0.01502993228215332,0.01502993228215332,0.01502993228215332,0.01502993228215332,0.261497787353728,0.26520294554686724,0.01502993228215332,0.15328841459836684,0.1847414619616581,0.01502993228215332,0.01502993228215332,0.01502993228215332
9,food_local_markets,medium,12.578059638833167,walk,2.1639629344274987,0.34811880972057935,0.8687052547582395,0.18131961714290507,False,Sagrada Familia,41.40018702659776,2.173250466553803,,0.014802555602100658,0.014802555602100658,0.014802555602100658,0.014802555602100658,0.19845870212886668,0.19233659688463592,0.014802555602100658,0.014802555602100658,0.2507541825075283,0.014802555602100658,0.014802555602100658,0.014802555602100658,0.22522751806006316
10,food_local_markets,low,4.425154837451938,transit,10.715981343967373,0.774206953867295,0.6930019345016688,0.46046915502934377,False,Gotic,41.38242700417285,2.177666222203762,,0.015415959784392707,0.015415959784392707,0.015415959784392707,0.015415959784392707,0.2381105400022719,0.22706399221160045,0.015415959784392707,0.015415959784392707,0.19337670154318878,0.015415959784392707,0.015415959784392707,0.015415959784392707,0.2027051281834045
11,food_local_markets,medium,14.392209832285763,walk,1.6174463420720053,0.45362553224301283,0.6826118266445005,0.7664150049578129,False,El Raval,41.3874934196099,2.170143386210226,,0.014774524131970548,0.014774524131970548,0.014774524131970548,0.014774524131970548,0.22368431864437519,0.23987651921134592,0.014774524131970548,0.014774524131970548,0.16364880012138527,0.014774524131970548,0.014774524131970548,0.014774524131970548,0.2398196448351587
12,food_local_markets,medium,25.357459864965787,transit,7.695626472702474,0.825011479662651,0.7501086310647979,0.47036249841638184,False,El Raval,41.37971234167471,2.161573112870086,,0.013941596726307865,0.013941596726307865,0.013941596726307865,0.013941596726307865,0.23405827232196316,0.19913449456744114,0.013941596726307865,0.013941596726307865,0.22913201906448485,0.013941596726307865,0.013941596726307865,0.013941596726307865,0.21220084350934004
13,food_local_markets,medium,14.512880883498616,transit,6.416832151880028,0.5747321293246425,0.6979707590121027,0.7298190545536583,False,Montjuic,41.37078159008492,2.158684988373869,,0.016452602736429258,0.016452602736429258,0.016452602736429258,0.016452602736429258,0.17703648086784035,0.24219230168967706,0.016452602736429258,0.016452602736429258,0.18707152959184098,0.016452602736429258,0.016452602736429258,0.016452602736429258,0.24562626322277822
14,food_local_markets,medium,6.5435524570095005,transit,10.347463730046115,0.4694405735675017,0.610186066374213,0.5157629570997708,False,Sagrada Familia,41.39534704689278,2.1720355862992355,,0.01627400219356678,0.01627400219356678,0.01627400219356678,0.01627400219356678,0.18325980045930718,0.20367759735638194,0.01627400219356678,0.01627400219356678,0.2846163450751475,0.01627400219356678,0.01627400219356678,0.01627400219356678,0.1819802373670624
