strategy,step,tourist_id,segment,poi_id,poi_name,neighbourhood,is_central,satisfaction,interest_match,distance_km,cost,crowd_ratio_after_visit,sustainable_value,local_economy,green,baseline_pressure,co2_kg
popularity,1,1631,architecture_fans,6,Barri Gotic,Gotic,True,0.593890582721198,0.25165122712835464,0.3728204612718249,0,0.001,0.4868,0.55,0.2,0.7785,0.0
popularity,1,285,architecture_fans,6,Barri Gotic,Gotic,True,0.5762550248605998,0.2877296554493085,1.8849898263548355,0,0.002,0.4868,0.55,0.2,0.7785,0.0
popularity,1,1268,architecture_fans,0,Sagrada Familia,Sagrada Familia,True,0.6842385323850642,0.6113412494049177,2.1186794014092047,26,0.0011111111111111111,0.415,0.3,0.1,0.8500000000000001,0.0
popularity,1,747,architecture_fans,1,Park Guell,La Salut,False,0.6312851243742339,0.40710889679001633,2.400499024475591,10,0.001176470588235294,0.644,0.35,0.9,0.6174999999999999,0.43208982440560634
popularity,1,390,museum_culture,1,Park Guell,La Salut,False,0.6245591985073906,0.2879036921998432,1.7317116845061662,10,0.002352941176470588,0.644,0.35,0.9,0.6174999999999999,0.06060990895771582
popularity,1,166,food_local_markets,6,Barri Gotic,Gotic,True,0.7056456120459792,0.43278144671550484,1.9013883091135717,0,0.003,0.4868,0.55,0.2,0.7785,0.0
popularity,1,656,family_green,1,Park Guell,La Salut,False,0.7725708522111443,0.5217160075027445,3.9472567644893717,10,0.0035294117647058825,0.644,0.35,0.9,0.6174999999999999,0.0
popularity,1,260,history_religion,6,Barri Gotic,Gotic,True,0.7082826568107847,0.4763303693541075,0.4005477912936566,0,0.004,0.4868,0.55,0.2,0.7785,0.0
popularity,1,1863,beach_nightlife,6,Barri Gotic,Gotic,True,0.6914898142357374,0.4737487478491317,1.0025139613840788,0,0.005,0.4868,0.55,0.2,0.7785,0.0
popularity,1,1115,history_religion,0,Sagrada Familia,Sagrada Familia,True,0.6738406773652073,0.6365454720765686,2.0674079560768197,26,0.0022222222222222222,0.415,0.3,0.1,0.8500000000000001,0.0
popularity,1,239,architecture_fans,0,Sagrada Familia,Sagrada Familia,True,0.814361395811087,0.6622268471320455,2.4109929223847746,26,0.0033333333333333335,0.415,0.3,0.1,0.8500000000000001,0.0
popularity,1,1426,food_local_markets,6,Barri Gotic,Gotic,True,0.7149670527364046,0.465463737800218,2.031066496319592,0,0.006,0.4868,0.55,0.2,0.7785,0.0
popularity,1,1887,food_local_markets,4,La Rambla,La Rambla,True,0.8308151160595005,0.6448039596766205,0.9496911918777307,0,0.0008333333333333334,0.4116,0.45,0.2,0.8045,0.0
popularity,1,1642,museum_culture,5,Mercat de la Boqueria,El Raval,True,0.6512831914773078,0.2609950619114993,1.1834868280349335,0,0.0015384615384615385,0.4905,0.85,0.1,0.7850000000000001,0.0
popularity,1,697,architecture_fans,6,Barri Gotic,Gotic,True,0.5970078435616014,0.29033734966880875,0.9611801008680863,0,0.007,0.4868,0.55,0.2,0.7785,0.0
popularity,1,250,family_green,1,Park Guell,La Salut,False,0.7924880984582077,0.4847642987044402,4.28299556309717,10,0.004705882352941176,0.644,0.35,0.9,0.6174999999999999,0.0
popularity,1,1422,architecture_fans,0,Sagrada Familia,Sagrada Familia,True,0.745764957954716,0.6414413945670385,2.4365147655732904,26,0.0044444444444444444,0.415,0.3,0.1,0.8500000000000001,0.0
popularity,1,48,architecture_fans,1,Park Guell,La Salut,False,0.7559480418856587,0.5422275124391819,2.97546362210393,10,0.0058823529411764705,0.644,0.35,0.9,0.6174999999999999,0.10414122677363756
popularity,1,282,beach_nightlife,1,Park Guell,La Salut,False,0.4577013377669659,0.05811021007407818,2.6726779867919626,10,0.007058823529411765,0.644,0.35,0.9,0.6174999999999999,0.0
popularity,1,1072,history_religion,5,Mercat de la Boqueria,El Raval,True,0.6279261455653207,0.24118652338261212,0.24526512141223422,0,0.003076923076923077,0.4905,0.85,0.1,0.7850000000000001,0.0
popularity,1,1627,architecture_fans,0,Sagrada Familia,Sagrada Familia,True,0.6923971260882349,0.6872425184058611,1.6405879347564065,26,0.005555555555555556,0.415,0.3,0.1,0.8500000000000001,0.057420577716474235
popularity,1,347,architecture_fans,0,Sagrada Familia,Sagrada Familia,True,0.7900738762438174,0.6514324381591274,3.780662725863903,26,0.006666666666666667,0.415,0.3,0.1,0.8500000000000001,0.0
popularity,1,1700,family_green,1,Park Guell,La Salut,False,0.8156097471361796,0.469666869358083,1.5012803495180536,10,0.00823529411764706,0.644,0.35,0.9,0.6174999999999999,0.05254481223313188
popularity,1,1045,history_religion,6,Barri Gotic,Gotic,True,0.6564303783594144,0.42648685776419326,2.4984887595102254,0,0.008,0.4868,0.55,0.2,0.7785,0.0874471065828579
popularity,1,448,beach_nightlife,4,La Rambla,La Rambla,True,0.805065986238755,0.6804503549489307,0.5784947207537617,0,0.0016666666666666668,0.4116,0.45,0.2,0.8045,0.0
popularity,1,1591,family_green,1,Park Guell,La Salut,False,0.8193246005073961,0.5356572728653217,0.5450198687081067,10,0.009411764705882352,0.644,0.35,0.9,0.6174999999999999,0.0
popularity,1,1357,beach_nightlife,5,Mercat de la Boqueria,El Raval,True,0.55189038777758,0.21757874515262945,3.6707437234714027,0,0.004615384615384616,0.4905,0.85,0.1,0.7850000000000001,0.1284760303214991
popularity,1,1796,museum_culture,6,Barri Gotic,Gotic,True,0.6811620997255432,0.4319110867682327,1.7965804046660707,0,0.009,0.4868,0.55,0.2,0.7785,0.06288031416331248
